advmean,advstd,best_ret,epcount,eprew,ev_ext,ev_int,mem_available,n_rooms,n_updates,opt_approxkl,opt_auxloss,opt_clipfrac,opt_ent,opt_featvar,opt_gradnorm,opt_maxfeat,opt_maxkl,opt_pg,opt_tot,opt_vf,reset_counter,retextmean,retextstd,retintmean,retintstd,rewintmax_norm,rewintmax_unnorm,rewintmean_norm,rewintmean_unnorm,rewintstd_unnorm,rooms,tcount,time_elapsed,tps,vpredextmean,vpredextstd,vpredintmean,vpredintstd,wait_policy_inference,wait_step,wait_update,eplen,eprooms,rewtotal
0.63347006,0.28447565,-inf,0,nan,-1.0,5.066394805908203e-06,9080127488,0,1,0.004717197,0.5077744,0.4296875,2.8856137,0.39958894,4.081194,4.9082785,0.018561022,-0.6596372,-0.044809103,0.109939344,0,-0.0028803411,0.00015785264,0.63498783,0.28448823,0.12618291,2.7513165,0.044272006,0.96531534,0.4926489,[],0,100.82774615287781,40.62389552854366,-0.0033528148,0.00044607915,0.002462765,0.00040089764,1.647409439086914,9.742397785186768,5.388930320739746,,,
0.29918423,0.14915054,0.0,2,0.0,-0.8288854360580444,-0.02875697612762451,8889196544,1,2,0.0046749623,0.39825127,0.17480469,2.8819323,0.34906662,2.281532,4.574245,0.023063298,-0.30609488,0.10645008,0.01717565,0,-0.002532073,0.000244534,0.64458776,0.14703068,0.06765611,1.3031445,0.023565162,0.45389557,0.23600292,[1],429,108.46830129623413,536.0863663555376,-0.0029487906,0.00030911854,0.34623697,0.019236965,0.4927694797515869,7.637260675430298,4.758075952529907,214.5,1.0,0.0
0.2581387,0.1508903,0.0,6,0.0,-1.0,-0.026161789894104004,8902684672,1,3,0.0020140843,0.40328822,0.15136719,2.882514,0.41079754,1.3536361,4.331814,0.011223637,-0.26694041,0.14497554,0.01151025,0,-0.0011250544,0.00014672273,1.0256758,0.14896324,0.07156524,1.209185,0.025140096,0.42477363,0.21528472,[1],1831,115.98353052139282,545.0266049561569,-0.0012925309,0.00022909848,0.767872,0.018043619,0.4746580123901367,7.512377500534058,4.8034021854400635,305.1666666666667,1.0,0.0
0.20152527,0.14853019,0.0,12,0.0,0.135486900806427,-0.03326880931854248,8911708160,1,4,0.0024027403,0.36358032,0.08105469,2.8752327,0.3984549,1.7467439,4.109087,0.015738573,-0.21825573,0.15634303,0.0138936825,0,-0.0020867835,0.00026516189,1.3099651,0.14609073,0.073580265,1.1484513,0.02472191,0.3858631,0.20380373,[1],4433,123.45394325256348,548.2963455163922,-0.0024526431,0.0001507523,1.1091715,0.022718532,0.47123289108276367,7.4675726890563965,4.7791361808776855,369.4166666666667,1.0,0.0
0.106822014,0.13237713,0.0,22,0.0,0.19229656457901,-0.07621181011199951,8911228928,1,5,0.0022174653,0.27725872,0.05078125,2.8675032,0.32771438,1.6619918,4.2545147,0.007348863,-0.08664936,0.19649166,0.008749801,0,-0.0021674656,0.00034842832,1.5003021,0.12757091,0.06174139,0.94212794,0.021082364,0.3217013,0.18283616,[1],9481,130.9585988521576,545.7945332256858,-0.0025800446,0.00014066402,1.3943051,0.029546723,0.4681413173675537,7.501946449279785,4.815381288528442,430.95454545454544,1.0,0.0
0.07350677,0.12577097,0.0,28,0.0,0.03379625082015991,-0.05335044860839844,8909500416,1,6,0.0015157202,0.25208414,0.0,2.8704267,0.31589496,1.4114462,4.5053144,0.0041409414,-0.048308365,0.20844029,0.0075349393,0,-0.0031082376,0.0003781854,1.6216142,0.12246312,0.059044123,0.88912606,0.020305308,0.30577096,0.17221719,[1],12641,138.5185067653656,541.8055585069151,-0.003728986,0.000109374,1.5493488,0.02003929,0.4748566150665283,7.557068824768066,4.881837606430054,451.4642857142857,1.0,0.0
0.06824927,0.12515426,0.0,34,0.0,0.21498209238052368,-0.01116788387298584,8905236480,1,7,0.0016297912,0.263759,0.068359375,2.866667,0.33835977,1.3976005,4.3155317,0.0051296134,-0.046628065,0.22505938,0.010795123,0,-0.0017426745,0.00023317081,1.7165923,0.1244586,0.06665403,0.99270093,0.020835033,0.31030315,0.17109725,[1],16670,145.9567141532898,550.6702613293255,-0.0021084533,0.00012158999,1.6490747,0.01747973,0.4756639003753662,7.435162782669067,4.7433762550354,490.29411764705884,1.0,0.0
0.06624649,0.100502,0.0,46,0.0,0.3003922700881958,-0.07690095901489258,8919388160,1,8,0.001047771,0.26870084,0.06347656,2.8632238,0.39577395,1.4560344,4.542519,0.0046371557,-0.036899243,0.2359196,0.006981223,0,-0.001538378,0.00028897592,1.8114634,0.09684791,0.058435895,0.8481411,0.021716677,0.31519678,0.15734279,[1],23535,153.45869994163513,545.9887882668595,-0.0019078029,0.00014632882,1.7459556,0.022525722,0.4759538173675537,7.4992311000823975,4.765061140060425,511.6304347826087,1.0,0.0
0.023787133,0.10818455,0.0,49,0.0,0.25948983430862427,-0.009509444236755371,8923303936,1,9,0.0008541874,0.246865,0.0,2.8570118,0.3842051,0.79622763,4.1819754,0.004345406,-0.0073527996,0.23960645,0.0029512616,0,-0.0011524175,0.00013079739,1.8585153,0.10766478,0.069856316,0.9902458,0.019967377,0.2830469,0.14325175,[1],25248,160.89790534973145,550.5964204550371,-0.0013888717,0.00013143037,1.8352011,0.009355035,0.4686851501464844,7.436268091201782,4.787276029586792,515.265306122449,1.0,0.0
0.0066277673,0.106043614,0.0,60,0.0,0.36198997497558594,-0.02788710594177246,8917815296,1,10,0.0021951452,0.25026512,0.20019531,2.8464022,0.39848003,0.14685816,4.217075,0.0067035668,-0.01378347,0.24015793,0.0065226792,0,-0.001336715,0.00025670754,1.8760695,0.10459557,0.061533865,0.86052203,0.019074645,0.26674986,0.14578041,[1],31595,168.4258508682251,544.1059741548961,-0.0016473023,0.00017744202,1.870063,0.0153888585,0.46961140632629395,7.525140285491943,4.816325426101685,526.5833333333334,1.0,0.0
0.019858923,0.09243192,0.0,73,0.0,0.40484464168548584,-0.020354390144348145,8863866880,1,11,0.0019858652,0.2867122,0.16503906,2.833393,0.50197726,0.73542154,4.3454986,0.010532661,-0.05629617,0.23069564,0.0031129895,0,-0.0013184964,0.000266611,1.8951619,0.09153575,0.055035513,0.75853634,0.01994637,0.27491426,0.13485397,[1],38082,175.97548818588257,542.5426357597753,-0.0016384197,0.00018400297,1.8759427,0.014029619,0.46988749504089355,7.546860694885254,4.8146812915802,521.6712328767123,1.0,0.0
0.011243191,0.085669056,0.0,77,0.0,0.30671226978302,-0.004649519920349121,8892321792,1,12,0.0020658174,0.2565796,0.15527344,2.8246825,0.4778721,0.13837913,4.1396575,0.006076059,-0.018102176,0.23910028,0.0034475317,0,-0.001016946,0.00013691859,1.9137411,0.08547306,0.06350781,0.85915554,0.019765511,0.26739466,0.1242569,[1],39285,183.45355463027954,547.7351706428037,-0.0012354739,0.00014084132,1.9029349,0.006356566,0.4747121334075928,7.475461006164551,4.793652296066284,510.1948051948052,1.0,0.0
0.00012686895,0.07200926,0.0,92,0.0,0.4818090796470642,-0.00980532169342041,8899870720,1,13,0.0008694943,0.23338783,0.0,2.8217242,0.45590055,0.106268965,4.2568636,0.0052551497,0.0015930673,0.23558706,0.003427896,0,-0.00030901068,0.00014708196,1.9138665,0.07168117,0.061416846,0.8178154,0.018908981,0.2517885,0.116539665,[1],46546,191.15809893608093,531.6342975555065,-0.0004083811,0.00021790231,1.9139384,0.010882575,0.468641996383667,7.701564788818359,4.966460227966309,505.9347826086956,1.0,0.0
-0.035799976,0.06738353,0.0,103,0.0,0.6033944487571716,-0.011322617530822754,8899952640,1,14,0.0011374528,0.20424497,0.036132812,2.8135026,0.4320579,0.29299504,4.5105124,0.0069517386,0.040908035,0.24478541,0.0024459062,0,-0.00056663086,0.00018254778,1.8784249,0.0670218,0.04660649,0.6136415,0.01674287,0.22044398,0.10589823,[1],50782,198.68927097320557,543.873056656017,-0.0007128429,0.00023000974,1.9145173,0.008308921,0.4720768928527832,7.528559684753418,4.823380470275879,500.29,1.0,0.0
-0.036274068,0.06356035,0.0,113,0.0,0.5267916917800903,0.000307619571685791,8856686592,1,15,0.0010338884,0.19909024,0.0,2.8030179,0.4346558,0.058568105,4.3123894,0.004149972,0.04313663,0.24096476,0.0015408943,0,-0.0012926367,0.0002838126,1.8502352,0.0636475,0.049954154,0.65389526,0.016619619,0.21754926,0.10149355,[1],54540,206.5110957622528,523.6627784764912,-0.0015923196,0.00025052653,1.8871087,0.0069792466,0.49653124809265137,7.8186936378479,4.838623046875,495.88,1.0,0.0
-0.031943105,0.068282105,0.0,126,0.0,0.44294387102127075,0.003968656063079834,8898170880,1,16,0.0008378684,0.20172612,0.0,2.7998958,0.48897183,0.19591247,4.126709,0.0033645239,0.028319802,0.22885568,0.0016096487,0,-0.0019197818,0.00039921503,1.8147497,0.06857177,0.045778558,0.5976862,0.016128771,0.2105777,0.102469005,[1],59453,214.1664855480194,535.0478534809815,-0.002374196,0.00028282727,1.8476017,0.007158658,0.4858274459838867,7.65245509147644,4.799862861633301,483.01,1.0,0.0
